iter	Passed	Remaining
0	55	27721
1	61	15278
2	63	10529
3	66	8270
4	69	6860
5	71	5897
6	72	5075
7	74	4566
8	76	4174
9	77	3813
10	79	3554
11	82	3341
12	84	3169
13	86	3018
14	89	2890
15	91	2777
16	94	2677
17	97	2619
18	99	2531
19	102	2456
20	104	2384
21	106	2320
22	109	2261
23	111	2209
24	113	2156
25	115	2111
26	118	2072
27	120	2033
28	123	1998
29	125	1965
30	127	1933
31	130	1903
32	132	1874
33	134	1848
34	137	1823
35	139	1802
36	142	1777
37	144	1761
38	147	1740
39	149	1721
40	151	1700
41	154	1681
42	156	1665
43	159	1649
44	161	1632
45	163	1613
46	165	1598
47	168	1583
48	170	1570
49	173	1558
50	175	1543
51	177	1529
52	179	1514
53	181	1501
54	184	1489
55	186	1479
56	188	1467
57	190	1455
58	193	1445
59	195	1434
60	197	1422
61	199	1411
62	202	1401
63	204	1393
64	206	1385
65	209	1376
66	211	1369
67	214	1361
68	216	1352
69	219	1345
70	221	1337
71	223	1328
72	225	1320
73	228	1314
74	230	1307
75	233	1300
76	235	1294
77	237	1286
78	240	1279
79	242	1273
80	244	1266
81	247	1259
82	249	1253
83	251	1246
84	254	1240
85	256	1233
86	258	1227
87	260	1220
88	262	1214
89	265	1209
90	267	1202
91	269	1196
92	272	1191
93	274	1187
94	277	1181
95	279	1176
96	281	1170
97	284	1166
98	288	1167
99	292	1168
100	294	1164
101	297	1160
102	299	1155
103	301	1149
104	304	1144
105	306	1139
106	308	1133
107	310	1128
108	313	1123
109	315	1118
110	317	1113
111	320	1108
112	322	1104
113	324	1099
114	327	1096
115	330	1092
116	332	1088
117	334	1084
118	337	1079
119	339	1075
120	342	1071
121	344	1066
122	346	1062
123	348	1058
124	351	1054
125	353	1050
126	356	1046
127	358	1042
128	361	1038
129	363	1034
130	365	1030
131	367	1025
132	370	1022
133	372	1017
134	374	1013
135	377	1009
136	379	1005
137	381	1001
138	384	997
139	386	994
140	388	990
141	391	986
142	393	983
143	396	979
144	398	975
145	400	971
146	403	968
147	405	963
148	407	960
149	410	956
150	412	953
151	414	949
152	417	946
153	419	942
154	422	939
155	424	936
156	426	932
157	428	928
158	431	925
159	433	921
160	435	917
161	438	914
162	440	910
163	442	907
164	445	903
165	447	899
166	449	896
167	451	893
168	454	889
169	456	887
170	459	883
171	461	880
172	464	877
173	466	874
174	468	870
175	471	867
176	473	864
177	475	860
178	478	857
179	480	854
180	482	851
181	485	848
182	488	845
183	490	842
184	492	839
185	495	835
186	497	832
187	499	829
188	502	826
189	504	823
190	507	820
191	509	817
192	511	814
193	513	810
194	516	807
195	518	804
196	521	801
197	523	798
198	525	795
199	527	791
200	530	788
201	532	785
202	535	782
203	537	779
204	539	776
205	541	773
206	544	770
207	546	767
208	549	764
209	551	761
210	553	758
211	556	755
212	558	753
213	561	750
214	564	748
215	566	745
216	569	742
217	571	738
218	573	736
219	576	733
220	578	730
221	580	727
222	583	724
223	585	721
224	588	718
225	590	715
226	593	713
227	595	710
228	598	707
229	600	705
230	602	701
231	605	699
232	607	696
233	609	693
234	611	690
235	614	687
236	616	684
237	618	681
238	621	678
239	623	675
240	625	672
241	628	669
242	630	667
243	633	664
244	635	661
245	637	658
246	639	655
247	642	652
248	644	649
249	647	647
250	650	645
251	654	643
252	658	642
253	661	640
254	663	637
255	666	635
256	669	632
257	671	629
258	673	627
259	676	624
260	678	621
261	680	618
262	683	615
263	685	612
264	688	610
265	690	607
266	692	604
267	695	601
268	697	598
269	699	596
270	702	593
271	704	590
272	707	587
273	709	585
274	711	582
275	714	579
276	716	576
277	718	574
278	721	571
279	723	568
280	726	565
281	728	563
282	731	560
283	733	557
284	735	555
285	738	552
286	740	549
287	742	546
288	745	544
289	747	541
290	749	538
291	751	535
292	754	533
293	756	530
294	759	527
295	761	524
296	763	522
297	766	519
298	768	516
299	771	514
300	773	511
301	776	508
302	778	506
303	780	503
304	782	500
305	785	497
306	787	495
307	789	492
308	792	489
309	794	486
310	796	484
311	798	481
312	800	478
313	803	475
314	806	473
315	808	470
316	810	468
317	813	465
318	816	463
319	818	460
320	821	457
321	823	455
322	826	452
323	828	450
324	830	447
325	833	444
326	835	442
327	838	439
328	840	436
329	842	434
330	845	431
331	847	428
332	849	426
333	851	423
334	854	420
335	856	418
336	858	415
337	860	412
338	863	410
339	865	407
340	868	404
341	870	402
342	872	399
343	875	396
344	877	394
345	879	391
346	881	388
347	884	386
348	886	383
349	888	380
350	890	378
351	893	375
352	895	372
353	897	370
354	899	367
